name,Lr,Lx,ledd,M,M_err,Rs_km,spin,spin_meas,tier,phi_low,phi_mid,phi_high
GX 339-4,2.2590159999999997e+29,3.58188e+35,0.0009636481033091203,5.9,3.6,17.428645645297486,0.95,True,gold,3.3128407188989666,7.407737046087362,14.815474092174725
GX 339-4,2.6801879999999998e+29,3.9400679999999996e+35,0.0010600129136400323,5.9,3.6,17.428645645297486,0.95,True,gold,3.436029135321887,7.683194719249563,15.366389438499127
GX 339-4,2.9482069999999997e+29,1.0229850000000001e+36,0.0027521791767554484,5.9,3.6,17.428645645297486,0.95,True,gold,2.799462433420231,6.259788301584616,12.519576603169233
GX 339-4,4.135147e+29,1.253658e+36,0.003372768361581921,5.9,3.6,17.428645645297486,0.95,True,gold,2.998167485924568,6.704106306456979,13.408212612913958
GX 339-4,4.6328969999999995e+29,1.67632e+36,0.0045098735539413504,5.9,3.6,17.428645645297486,0.95,True,gold,2.9022391830640015,6.489604100294564,12.979208200589127
GX 339-4,4.211724e+29,1.229301e+36,0.0033072397094430993,5.9,3.6,17.428645645297486,0.95,True,gold,3.032485069441853,6.780842756025153,13.561685512050307
GX 339-4,2.6419e+29,6.504693999999999e+35,0.0017499849340866288,5.9,3.6,17.428645645297486,0.95,True,gold,3.01592516451235,6.743813682901851,13.487627365803702
GX 339-4,3.292803e+29,2.3783679999999998e+35,0.0006398622545063223,5.9,3.6,17.428645645297486,0.95,True,gold,4.191950232714375,9.373485678645407,18.746971357290814
GX 339-4,8.500024999999999e+29,2.879832e+36,0.007747732041969331,5.9,3.6,17.428645645297486,0.95,True,gold,3.140541152386263,7.02246350287121,14.04492700574242
GX 339-4,1.945051e+30,8.625167e+36,0.02320464622006995,5.9,3.6,17.428645645297486,0.95,True,gold,2.5905788890396475,5.792710496968537,11.585420993937074
GX 339-4,2.3623939999999998e+30,1.1863189999999999e+37,0.03191603443637342,5.9,3.6,17.428645645297486,0.95,True,gold,2.3657867853554655,5.290060072325525,10.58012014465105
GX 339-4,2.764423e+30,2.014449e+37,0.0541955609362389,5.9,3.6,17.428645645297486,0.95,True,gold,1.9190540477828928,4.291135303338678,8.582270606677357
GX 339-4,3.453614e+30,2.351146e+37,0.06325386064030132,5.9,3.6,17.428645645297486,0.95,True,gold,1.9215165144787034,4.29664154626284,8.59328309252568
GX 339-4,3.154964e+30,2.362608e+37,0.06356222760290557,5.9,3.6,17.428645645297486,0.95,True,gold,1.8566274710255148,4.151545234106573,8.303090468213146
GX 339-4,3.897759e+30,2.866937e+37,0.07713040086090933,5.9,3.6,17.428645645297486,0.95,True,gold,1.8160123352194233,4.060727029528767,8.121454059057534
GX 339-4,4.154292e+30,3.13916e+37,0.08445412967446866,5.9,3.6,17.428645645297486,0.95,True,gold,1.7749710475294012,3.968955920369751,7.937911840739502
GX 339-4,5.268484e+30,4.0346300000000003e+37,0.10854533225719667,5.9,3.6,17.428645645297486,0.95,True,gold,1.702611901405244,3.807155950842296,7.614311901684592
GX 339-4,5.957675e+30,4.740976e+37,0.12754845305353782,5.9,3.6,17.428645645297486,0.95,True,gold,1.6403162066779042,3.6678585427263886,7.335717085452777
GX 339-4,7.458581e+30,5.447323e+37,0.14655160075329565,5.9,3.6,17.428645645297486,0.95,True,gold,1.6565695704214567,3.704202168920003,7.408404337840006
GX 339-4,8.683810000000001e+30,5.812675e+37,0.15638081786386873,5.9,3.6,17.428645645297486,0.95,True,gold,1.6921015964705703,3.7836541945441136,7.567308389088227
GX 339-4,8.404304e+30,6.173728e+37,0.16609437718590261,5.9,3.6,17.428645645297486,0.95,True,gold,1.6230276718644292,3.629200203652086,7.258400407304172
GX 339-4,7.213535e+30,6.355688e+37,0.17098972289480766,5.9,3.6,17.428645645297486,0.95,True,gold,1.5156518859096795,3.389100647119799,6.778201294239598
GX 339-4,8.270295e+30,6.334197e+37,0.17041154156577884,5.9,3.6,17.428645645297486,0.95,True,gold,1.5932726170516616,3.562665878416506,7.125331756833012
GX 339-4,8.090339e+30,6.483203e+37,0.17442031207963413,5.9,3.6,17.428645645297486,0.95,True,gold,1.5626760850874777,3.4942499530688456,6.988499906137691
GX 339-4,8.155430000000001e+30,7.011888e+37,0.18864374495560937,5.9,3.6,17.428645645297486,0.95,True,gold,1.506865803082459,3.3694543686621903,6.738908737324381
GX 339-4,1.703834e+30,4.627789e+36,0.012450333602367502,5.9,3.6,17.428645645297486,0.95,True,gold,3.375191165361112,7.547156882804179,15.094313765608359
GX 339-4,1.558338e+30,3.710828e+36,0.009983395211191822,5.9,3.6,17.428645645297486,0.95,True,gold,3.650793936471924,8.163423413795272,16.326846827590543
GX 339-4,1.474103e+30,2.9084870000000003e+36,0.007824823782620394,5.9,3.6,17.428645645297486,0.95,True,gold,3.8047000342975363,8.507567910685072,17.015135821370144
GX 339-4,1.267346e+30,2.02018e+36,0.005434974441754103,5.9,3.6,17.428645645297486,0.95,True,gold,3.951165572455296,8.835074810366914,17.670149620733827
GX 339-4,9.725254e+29,1.384038e+36,0.0037235351089588377,5.9,3.6,17.428645645297486,0.95,True,gold,3.9554831424987307,8.84472919048165,17.6894583809633
GX 339-4,6.70047e+29,1.088892e+36,0.002929491525423729,5.9,3.6,17.428645645297486,0.95,True,gold,3.682442549585375,8.234191864110539,16.468383728221077
GX 339-4,5.0540689999999996e+29,8.739786999999999e+35,0.00235130131826742,5.9,3.6,17.428645645297486,0.95,True,gold,3.521959406811623,7.875340647625626,15.750681295251251
GX 339-4,4.250013e+29,7.16376e+35,0.0019272962066182405,5.9,3.6,17.428645645297486,0.95,True,gold,3.4818908853162562,7.785744709804073,15.571489419608145
GX 339-4,4.326589e+29,6.5906589999999995e+35,0.0017731124562819476,5.9,3.6,17.428645645297486,0.95,True,gold,3.5777121656195945,8.0000076062534,16.0000152125068
GX 339-4,2.412169e+29,3.438605e+35,0.0009251022329835888,5.9,3.6,17.428645645297486,0.95,True,gold,3.425212175831609,7.65900726251944,15.31801452503888
GX 339-4,2.3738809999999998e+29,2.2924029999999998e+35,0.0006167347323110035,5.9,3.6,17.428645645297486,0.95,True,gold,3.7692747615866846,8.428354592782142,16.856709185564284
GX 339-4,1.1486519999999999e+29,4.441531e+34,0.00011949235942964757,5.9,3.6,17.428645645297486,0.95,True,gold,4.397192039669284,9.83242031082147,19.66484062164294
GX 339-4,1.1486519999999999e+29,7.736861e+34,0.00020814799569545333,5.9,3.6,17.428645645297486,0.95,True,gold,3.8275194728898554,8.55859372658588,17.11718745317176
H1743-322,1.74978e+30,2.464333e+37,0.04889549603174603,8.0,2.0,23.632061891928796,0.2,True,silver,10.580631342100252,23.659010925801,47.318021851602
H1743-322,2.469602e+30,3.624863e+37,0.07192188492063492,8.0,2.0,23.632061891928796,0.2,True,silver,9.85214602953364,22.03006824629187,44.06013649258374
H1743-322,6.5052e+30,6.791244999999999e+37,0.13474692460317458,8.0,2.0,23.632061891928796,0.2,True,silver,10.131199969812217,22.65405182614393,45.30810365228786
H1743-322,8.350701e+30,8.969028e+37,0.17795690476190476,8.0,2.0,23.632061891928796,0.2,True,silver,9.628168933441307,21.52924023402641,43.05848046805282
H1743-322,7.439436999999999e+30,7.808498e+37,0.15493051587301587,8.0,2.0,23.632061891928796,0.2,True,silver,9.906518183156086,22.151648077874718,44.303296155749436
H1743-322,8.423448e+28,1.742226e+36,0.0034567976190476193,8.0,2.0,23.632061891928796,0.2,True,silver,10.458750411142132,23.386476879017682,46.772953758035364
